"board","experiment_id","checkpoint","comparison_layer","games","non_tied_leader_games","tied_at_checkpoint","leader_lost","leader_lost_rate"
"6x6","6x6-uct-1000","0.25","secured","50","18","32","8","0.444444"
"6x6","6x6-uct-1000","0.25","secured_advantage","50","42","8","20","0.476190"
"6x6","6x6-uct-1000","0.25","full_lexicographic","50","47","3","24","0.510638"
"6x6","6x6-uct-1000","0.5","secured","50","36","14","12","0.333333"
"6x6","6x6-uct-1000","0.5","secured_advantage","50","49","1","17","0.346939"
"6x6","6x6-uct-1000","0.5","full_lexicographic","50","50","0","18","0.360000"
"6x6","6x6-uct-1000","0.75","secured","50","35","15","10","0.285714"
"6x6","6x6-uct-1000","0.75","secured_advantage","50","47","3","15","0.319149"
"6x6","6x6-uct-1000","0.75","full_lexicographic","50","50","0","16","0.320000"
"6x6","6x6-uct-1000","0.9","secured","50","15","35","3","0.200000"
"6x6","6x6-uct-1000","0.9","secured_advantage","50","44","6","8","0.181818"
"6x6","6x6-uct-1000","0.9","full_lexicographic","50","50","0","10","0.200000"
"4x4","uct-1000-self-play","0.25","secured","100","15","85","10","0.666667"
"4x4","uct-1000-self-play","0.25","secured_advantage","100","65","35","33","0.507692"
"4x4","uct-1000-self-play","0.25","full_lexicographic","100","82","18","38","0.463415"
"4x4","uct-1000-self-play","0.5","secured","100","60","40","32","0.533333"
"4x4","uct-1000-self-play","0.5","secured_advantage","100","87","13","44","0.505747"
"4x4","uct-1000-self-play","0.5","full_lexicographic","100","94","6","49","0.521277"
"4x4","uct-1000-self-play","0.75","secured","100","57","43","25","0.438596"
"4x4","uct-1000-self-play","0.75","secured_advantage","100","87","13","41","0.471264"
"4x4","uct-1000-self-play","0.75","full_lexicographic","100","96","4","47","0.489583"
"4x4","uct-1000-self-play","0.9","secured","100","51","49","23","0.450980"
"4x4","uct-1000-self-play","0.9","secured_advantage","100","82","18","37","0.451220"
"4x4","uct-1000-self-play","0.9","full_lexicographic","100","92","8","41","0.445652"
