"board","experiment_id","iteration_limit","game_index","winner","moves","turns","end_type","final_p1_score","final_p2_score","trial_file"
"6x6","6x6-uct-0500","500","1","2","144","48","NaturalEnd","27192","27485","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0001.trl"
"6x6","6x6-uct-0500","500","2","2","144","48","NaturalEnd","29894","29898","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0002.trl"
"6x6","6x6-uct-0500","500","3","1","144","48","NaturalEnd","27414","27118","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0003.trl"
"6x6","6x6-uct-0500","500","4","2","144","48","NaturalEnd","29973","30045","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0004.trl"
"6x6","6x6-uct-0500","500","5","2","144","48","NaturalEnd","32524","32821","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0005.trl"
"6x6","6x6-uct-0500","500","6","2","144","48","NaturalEnd","27343","29896","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0006.trl"
"6x6","6x6-uct-0500","500","7","2","144","48","NaturalEnd","29897","29971","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0007.trl"
"6x6","6x6-uct-0500","500","8","2","144","48","NaturalEnd","30193","32747","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0008.trl"
"6x6","6x6-uct-0500","500","9","2","144","48","NaturalEnd","24782","27264","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0009.trl"
"6x6","6x6-uct-0500","500","10","1","144","48","NaturalEnd","24710","21932","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0010.trl"
"6x6","6x6-uct-0500","500","11","2","144","48","NaturalEnd","27418","29972","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0011.trl"
"6x6","6x6-uct-0500","500","12","2","144","48","NaturalEnd","27265","27414","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0012.trl"
"6x6","6x6-uct-0500","500","13","1","144","48","NaturalEnd","30041","29747","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0013.trl"
"6x6","6x6-uct-0500","500","14","2","144","48","NaturalEnd","27264","27338","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0014.trl"
"6x6","6x6-uct-0500","500","15","2","144","48","NaturalEnd","27342","27414","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0015.trl"
"6x6","6x6-uct-0500","500","16","2","144","48","NaturalEnd","30043","32598","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0016.trl"
"6x6","6x6-uct-0500","500","17","1","144","48","NaturalEnd","24639","24637","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0017.trl"
"6x6","6x6-uct-0500","500","18","2","144","48","NaturalEnd","24711","27116","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0018.trl"
"6x6","6x6-uct-0500","500","19","2","144","48","NaturalEnd","27490","27562","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0019.trl"
"6x6","6x6-uct-0500","500","20","2","144","48","NaturalEnd","30118","32601","experiments/issue-56/results/trials/6x6-uct-0500/6x6-uct-0500-0020.trl"
"6x6","6x6-uct-0500","500","21","2","144","48","NaturalEnd","32895","35227","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0021.trl"
"6x6","6x6-uct-0500","500","22","2","144","48","NaturalEnd","27415","29968","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0022.trl"
"6x6","6x6-uct-0500","500","23","2","144","48","NaturalEnd","24785","27343","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0023.trl"
"6x6","6x6-uct-0500","500","24","2","144","48","NaturalEnd","29971","30043","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0024.trl"
"6x6","6x6-uct-0500","500","25","2","144","48","NaturalEnd","30046","30049","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0025.trl"
"6x6","6x6-uct-0500","500","26","2","144","48","NaturalEnd","29823","29895","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0026.trl"
"6x6","6x6-uct-0500","500","27","2","144","48","NaturalEnd","24712","24713","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0027.trl"
"6x6","6x6-uct-0500","500","28","2","144","48","NaturalEnd","29971","29972","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0028.trl"
"6x6","6x6-uct-0500","500","29","2","144","48","NaturalEnd","30116","30118","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0029.trl"
"6x6","6x6-uct-0500","500","30","2","144","48","NaturalEnd","24712","27340","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0030.trl"
"6x6","6x6-uct-0500","500","31","1","144","48","NaturalEnd","22079","21928","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0031.trl"
"6x6","6x6-uct-0500","500","32","2","144","48","NaturalEnd","30116","30117","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0032.trl"
"6x6","6x6-uct-0500","500","33","1","144","48","NaturalEnd","30116","29825","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0033.trl"
"6x6","6x6-uct-0500","500","34","2","144","48","NaturalEnd","30047","30119","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0034.trl"
"6x6","6x6-uct-0500","500","35","2","144","48","NaturalEnd","24933","27117","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0035.trl"
"6x6","6x6-uct-0500","500","36","2","144","48","NaturalEnd","24860","27191","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0036.trl"
"6x6","6x6-uct-0500","500","37","2","144","48","NaturalEnd","24782","27265","experiments/issue-58/results/trials/6x6-uct-0500/6x6-uct-0500-0037.trl"
