"board","experiment_id","allocation_pattern","games","turns","pattern_turns","turn_share","game_bootstrap_95ci_low","game_bootstrap_95ci_high"
"4x4","seeded-random-self-play","3","100","2400","30","0.012500","0.008333","0.017083"
"4x4","seeded-random-self-play","2+1","100","2400","646","0.269167","0.251667","0.286250"
"4x4","seeded-random-self-play","1+1+1","100","2400","1724","0.718333","0.700417","0.736667"
"4x4","seeded-random-self-play","mean_regions_used","100","2400","","2.705833","2.686250","2.725417"
"4x4","uct-0100-self-play","3","100","2400","42","0.017500","0.012500","0.022510"
"4x4","uct-0100-self-play","2+1","100","2400","799","0.332917","0.313323","0.351677"
"4x4","uct-0100-self-play","1+1+1","100","2400","1559","0.649583","0.629167","0.670000"
"4x4","uct-0100-self-play","mean_regions_used","100","2400","","2.632083","2.610000","2.652927"
"4x4","uct-0500-self-play","3","100","2400","51","0.021250","0.015406","0.027927"
"4x4","uct-0500-self-play","2+1","100","2400","828","0.345000","0.326250","0.365000"
"4x4","uct-0500-self-play","1+1+1","100","2400","1521","0.633750","0.612500","0.654167"
"4x4","uct-0500-self-play","mean_regions_used","100","2400","","2.612500","2.589583","2.635833"
"6x6","6x6-seeded-random","3","100","4800","66","0.013750","0.010625","0.017083"
"6x6","6x6-seeded-random","2+1","100","4800","1432","0.298333","0.284161","0.313333"
"6x6","6x6-seeded-random","1+1+1","100","4800","3302","0.687917","0.673125","0.701880"
"6x6","6x6-seeded-random","mean_regions_used","100","4800","","2.674167","2.658750","2.689583"
"6x6","6x6-uct-0100","3","50","2400","24","0.010000","0.006240","0.014167"
"6x6","6x6-uct-0100","2+1","50","2400","676","0.281667","0.266250","0.297917"
"6x6","6x6-uct-0100","1+1+1","50","2400","1700","0.708333","0.691250","0.724583"
"6x6","6x6-uct-0100","mean_regions_used","50","2400","","2.698333","2.678750","2.717510"
"6x6","6x6-uct-0500","3","20","960","15","0.015625","0.007292","0.025000"
"6x6","6x6-uct-0500","2+1","20","960","345","0.359375","0.328125","0.391667"
"6x6","6x6-uct-0500","1+1+1","20","960","600","0.625000","0.594792","0.657292"
"6x6","6x6-uct-0500","mean_regions_used","20","960","","2.609375","2.575000","2.644792"
