"board","experiment_id","checkpoint","comparison_layer","games","non_tied_leader_games","tied_at_checkpoint","leader_lost","leader_lost_rate"
"6x6","6x6-seeded-random","0.25","secured","100","5","95","3","0.600000"
"6x6","6x6-seeded-random","0.25","secured_advantage","100","79","21","27","0.341772"
"6x6","6x6-seeded-random","0.25","full_lexicographic","100","84","16","29","0.345238"
"6x6","6x6-seeded-random","0.5","secured","100","43","57","11","0.255814"
"6x6","6x6-seeded-random","0.5","secured_advantage","100","86","14","27","0.313953"
"6x6","6x6-seeded-random","0.5","full_lexicographic","100","97","3","30","0.309278"
"6x6","6x6-seeded-random","0.75","secured","100","73","27","15","0.205479"
"6x6","6x6-seeded-random","0.75","secured_advantage","100","97","3","21","0.216495"
"6x6","6x6-seeded-random","0.75","full_lexicographic","100","100","0","23","0.230000"
"6x6","6x6-seeded-random","0.9","secured","100","77","23","11","0.142857"
"6x6","6x6-seeded-random","0.9","secured_advantage","100","94","6","14","0.148936"
"6x6","6x6-seeded-random","0.9","full_lexicographic","100","98","2","18","0.183673"
"6x6","6x6-uct-0100","0.25","secured","50","7","43","5","0.714286"
"6x6","6x6-uct-0100","0.25","secured_advantage","50","42","8","18","0.428571"
"6x6","6x6-uct-0100","0.25","full_lexicographic","50","46","4","20","0.434783"
"6x6","6x6-uct-0100","0.5","secured","50","26","24","13","0.500000"
"6x6","6x6-uct-0100","0.5","secured_advantage","50","47","3","19","0.404255"
"6x6","6x6-uct-0100","0.5","full_lexicographic","50","49","1","21","0.428571"
"6x6","6x6-uct-0100","0.75","secured","50","40","10","23","0.575000"
"6x6","6x6-uct-0100","0.75","secured_advantage","50","50","0","27","0.540000"
"6x6","6x6-uct-0100","0.75","full_lexicographic","50","50","0","27","0.540000"
"6x6","6x6-uct-0100","0.9","secured","50","30","20","7","0.233333"
"6x6","6x6-uct-0100","0.9","secured_advantage","50","47","3","10","0.212766"
"6x6","6x6-uct-0100","0.9","full_lexicographic","50","50","0","10","0.200000"
"6x6","6x6-uct-0500","0.25","secured","20","5","15","3","0.600000"
"6x6","6x6-uct-0500","0.25","secured_advantage","20","18","2","5","0.277778"
"6x6","6x6-uct-0500","0.25","full_lexicographic","20","19","1","5","0.263158"
"6x6","6x6-uct-0500","0.5","secured","20","16","4","5","0.312500"
"6x6","6x6-uct-0500","0.5","secured_advantage","20","19","1","6","0.315789"
"6x6","6x6-uct-0500","0.5","full_lexicographic","20","20","0","7","0.350000"
"6x6","6x6-uct-0500","0.75","secured","20","16","4","6","0.375000"
"6x6","6x6-uct-0500","0.75","secured_advantage","20","18","2","7","0.388889"
"6x6","6x6-uct-0500","0.75","full_lexicographic","20","19","1","7","0.368421"
"6x6","6x6-uct-0500","0.9","secured","20","12","8","4","0.333333"
"6x6","6x6-uct-0500","0.9","secured_advantage","20","20","0","4","0.200000"
"6x6","6x6-uct-0500","0.9","full_lexicographic","20","20","0","4","0.200000"
"4x4","seeded-random-self-play","0.25","secured","100","0","100","0",""
"4x4","seeded-random-self-play","0.25","secured_advantage","100","61","39","21","0.344262"
"4x4","seeded-random-self-play","0.25","full_lexicographic","100","64","36","22","0.343750"
"4x4","seeded-random-self-play","0.5","secured","100","19","81","3","0.157895"
"4x4","seeded-random-self-play","0.5","secured_advantage","100","83","17","29","0.349398"
"4x4","seeded-random-self-play","0.5","full_lexicographic","100","95","5","32","0.336842"
"4x4","seeded-random-self-play","0.75","secured","100","54","46","7","0.129630"
"4x4","seeded-random-self-play","0.75","secured_advantage","100","98","2","22","0.224490"
"4x4","seeded-random-self-play","0.75","full_lexicographic","100","98","2","22","0.224490"
"4x4","seeded-random-self-play","0.9","secured","100","69","31","4","0.057971"
